#
# Version: 2011-03-12 00:00:00.0
#
# Table label_fr = Codes INS via Code postal
#
# POSTAL_CODE_fr  =  Code postal
# SEQNBR_fr  =  Numéro de séquence
# NIS_CODE_fr  =  Code INS
# EXPIRATION_DATE_fr  =  Date de suppression
# LATEST_TREATMENT_DATE_fr  =  Date du dernier traitement
#
# Table label_nl = NIS-codes via postcode
#
# POSTAL_CODE_nl  =  Postcode
# SEQNBR_nl  =  Sequentienummer
# NIS_CODE_nl  =  NIS-code
# EXPIRATION_DATE_nl  =  Verwijderingsdatum
# LATEST_TREATMENT_DATE_nl  =  Datum laatste verwerking
#
# Table label_de = LAS-Codes über Postleitzahl
#
# POSTAL_CODE_de  =  Postleitzahl
# SEQNBR_de  =  Sequenznummer
# NIS_CODE_de  =  LAS-Code
# EXPIRATION_DATE_de  =  Löschungsdatum
# LATEST_TREATMENT_DATE_de  =  Datum der letzten Verarbeitung
#
POSTAL_CODE;SEQNBR;NIS_CODE;EXPIRATION_DATE;LATEST_TREATMENT_DATE
1000;0;21004;;1996-02-09
1020;0;21004;;1996-02-09
1030;0;21015;;
1031;0;21004;;
1040;0;21005;;1996-02-09
1041;0;21004;;
1050;0;21009;;1996-02-09
1051;0;21004;;
1052;0;21013;;2000-05-19
1060;0;21013;;1996-02-09
1070;0;21001;;
1071;0;21004;;
1080;0;21012;;1996-02-09
1081;0;21011;;1996-02-09
1082;0;21003;;1996-02-09
1083;0;21008;;1996-02-09
1090;0;21010;;1996-02-09
1120;0;21004;;1996-02-09
1130;0;21004;;1996-02-09
1140;0;21006;;1996-02-09
1150;0;21019;;1996-02-09
1160;0;21002;;1996-02-09
1170;0;21017;;1996-02-09
1180;0;21016;;1996-02-09
1190;0;21007;;
1200;0;21018;;
1210;0;21014;;1996-02-09
1300;0;25055;;1990-10-26
1300;1;25112;;
1301;0;25006;;
1301;1;25112;;
1310;0;25050;;
1315;0;25027;;1990-10-26
1315;1;25035;;1990-10-26
1315;2;25043;;
1315;3;25080;;1990-10-26
1315;4;25086;;1990-10-26
1315;5;25093;;1990-10-26
1320;0;25005;;
1320;1;25012;;1990-10-26
1320;2;25038;;1990-10-26
1320;3;25048;;1991-06-14
1320;4;25053;;1990-10-26
1320;5;25073;;1990-10-26
1320;6;25103;;1990-10-26
1325;0;25010;;1990-10-26
1325;1;25018;;
1325;2;25021;;1990-10-26
1325;3;25025;;1990-10-26
1325;4;25026;;1990-10-26
1325;5;25058;;1990-10-26
1325;6;25115;;1990-10-26
1330;0;25091;;
1331;0;25091;;
1331;1;25092;;
1332;0;25033;;1990-10-26
1332;1;25091;;
1340;0;25083;;
1340;1;25121;;
1341;0;25016;;
1341;1;25121;;
1342;0;25056;;
1342;1;25121;;
1348;0;25021;;1990-12-04
1348;1;25068;;1991-06-14
1348;2;25121;;
1350;0;25028;;1990-10-26
1350;1;25029;;1990-10-26
1350;2;25045;;1990-10-26
1350;3;25046;;1990-10-26
1350;4;25063;;1990-10-26
1350;5;25074;;1990-10-26
1350;6;25082;;1990-10-26
1350;7;25120;;
1357;0;25057;;1990-10-26
1357;1;25069;;1990-10-26
1357;2;25079;;1990-10-26
1357;3;25118;;
1360;0;25060;;1990-10-26
1360;1;25081;;1990-10-26
1360;2;25084;;
1360;3;25100;;1990-10-26
1360;4;25101;;1990-10-26
1367;0;25002;;1990-10-26
1367;1;25009;;1990-10-26
1367;2;25030;;1990-10-26
1367;3;25036;;1990-10-26
1367;4;25042;;1990-10-26
1367;5;25067;;1990-10-26
1367;6;25089;;1990-10-26
1367;7;25116;;1990-10-26
1367;8;25122;;
1370;0;25027;;1990-10-26
1370;1;25047;;1990-10-26
1370;2;25048;;
1370;3;25049;;1990-10-26
1370;4;25052;;1990-10-26
1370;5;25064;;1990-10-26
1370;6;25085;;1990-10-26
1370;7;25095;;1990-10-26
1370;8;25096;;1990-10-26
1370;9;25114;;1990-10-26
1380;0;25024;;1990-10-26
1380;1;25051;;1990-10-26
1380;2;25061;;1990-10-26
1380;3;25076;;1990-10-26
1380;4;25087;;1990-10-26
1380;5;25119;;
1390;0;25001;;1990-10-26
1390;1;25008;;1990-10-26
1390;2;25012;;1990-10-26
1390;3;25037;;
1390;4;25070;;1990-10-26
1400;0;25066;;1990-10-26
1400;1;25072;;
1400;2;52063;;1991-06-14
1401;0;25004;;
1401;1;25072;;
1402;0;25072;;
1402;1;25099;;
1404;0;25011;;
1404;1;25072;;
1410;0;25050;;1991-06-14
1410;1;25076;;1990-12-04
1410;2;25110;;
1420;0;25014;;
1421;0;25014;;
1421;1;25078;;
1428;0;25014;;
1428;1;25054;;
1430;0;25007;;1990-10-26
1430;1;25088;;1990-10-26
1430;2;25090;;1990-10-26
1430;3;25097;;1990-10-26
1430;4;25123;;
1435;0;25020;;1990-10-26
1435;1;25040;;1990-10-26
1435;2;25068;;
1440;0;25015;;
1440;1;25111;;1990-10-26
1450;0;25017;;1990-10-26
1450;1;25022;;1990-10-26
1450;2;25032;;1990-10-26
1450;3;25094;;1990-10-26
1450;4;25117;;
1457;0;25071;;1990-10-26
1457;1;25104;;1990-10-26
1457;2;25109;;1990-10-26
1457;3;25124;;
1460;0;25044;;
1460;1;25108;;1990-10-26
1461;0;25039;;
1461;1;25044;;
1470;0;25003;;1990-10-26
1470;1;25013;;1990-10-26
1470;2;25031;;
1471;0;25031;;
1471;1;25059;;
1472;0;25031;;
1472;1;25106;;
1473;0;25031;;
1473;1;25034;;
1474;0;25031;;
1474;1;25113;;
1476;0;25031;;
1476;1;25041;;
1480;0;25019;;1990-10-26
1480;1;25077;;1990-10-26
1480;2;25097;;1990-10-26
1480;3;25105;;
1480;4;25108;;1990-10-26
1490;0;25016;;1990-12-04
1490;1;25023;;
1495;0;25032;;1990-10-26
1495;1;25062;;1990-10-26
1495;2;25065;;1990-10-26
1495;3;25098;;1990-10-26
1495;4;25102;;1990-10-26
1495;5;25107;;
1500;0;23027;;
1501;0;23013;;1990-10-26
1501;1;23027;;
1502;0;23027;;
1502;1;23043;;1990-10-26
1540;0;23031;;1990-10-26
1540;1;23032;;
1541;0;23032;;
1541;1;23076;;
1547;0;23009;;
1560;0;23033;;
1570;0;23023;;
1570;1;23087;;1990-10-26
1570;2;23090;;1990-10-26
1600;0;23061;;1990-10-26
1600;1;23073;;1990-10-26
1600;2;23077;;
1601;0;23069;;1990-10-26
1601;1;23077;;
