#
# Version: 2022-02-10 17:06:11.0
#
# Table label_fr = Codes INS via la commune
#
# NIS_CODE_fr  =  Code INS
# LINGUISTIC_REGIME_fr  =  Régime linguistique
# DESC_FR_fr  =  Nom de commune en Français
# DESC_NL_fr  =  Nom de commune en Néerlandais
# DESC_DE_fr  =  Nom de la commune en Allemand
# POSTAL_CODE_fr  =  Code postal
#
# Table label_nl = NIS-codes via gemeente
#
# NIS_CODE_nl  =  NIS-code
# LINGUISTIC_REGIME_nl  =  Taalrol
# DESC_FR_nl  =  Gemeentenaam in het Frans
# DESC_NL_nl  =  Gemeentenaam in het Nederlands
# DESC_DE_nl  =  Gemeentenaam in het Duits
# POSTAL_CODE_nl  =  Postcode
#
# Table label_de = LAS-Codes über Gemeinde
#
# NIS_CODE_de  =  LAS-Code
# LINGUISTIC_REGIME_de  =  Sprachenregelung
# DESC_FR_de  =  Name der Gemeinde auf Französisch
# DESC_NL_de  =  Name der Gemeinde auf Niederländisch
# DESC_DE_de  =  Name der Gemeinde auf Deutsch
# POSTAL_CODE_de  =  Postleitzahl
#
NIS_CODE;LINGUISTIC_REGIME;DESC_FR;DESC_NL;DESC_DE;POSTAL_CODE
11001;N0;;Aartselaar;;2630
11002;N0;Anvers;Antwerpen;Antwerpen;2000
11002;N0;Anvers;Antwerpen;Antwerpen;2018
11002;N0;Anvers;Antwerpen;Antwerpen;2020
11002;N0;Anvers;Antwerpen;Antwerpen;2030
11002;N0;Anvers;Antwerpen;Antwerpen;2040
11002;N0;Anvers;Antwerpen;Antwerpen;2050
11002;N0;Anvers;Antwerpen;Antwerpen;2060
11002;N0;Anvers;Antwerpen;Antwerpen;2100
11002;N0;Anvers;Antwerpen;Antwerpen;2140
11002;N0;Anvers;Antwerpen;Antwerpen;2170
11002;N0;Anvers;Antwerpen;Antwerpen;2180
11002;N0;Anvers;Antwerpen;Antwerpen;2600
11002;N0;Anvers;Antwerpen;Antwerpen;2610
11002;N0;Anvers;Antwerpen;Antwerpen;2660
11004;N0;;Boechout;;2530
11004;N0;;Boechout;;2531
11005;N0;;Boom;;2850
11007;N0;;Borsbeek;;2150
11008;N0;;Brasschaat;;2930
11009;N0;;Brecht;;2960
11013;N0;;Edegem;;2650
11016;N0;;Essen;;2910
11018;N0;;Hemiksem;;2620
11021;N0;;Hove;;2540
11022;N0;;Kalmthout;;2920
11023;N0;;Kapellen;;2950
11024;N0;;Kontich;;2550
11025;N0;;Lint;;2547
11029;N0;;Mortsel;;2640
11030;N0;;Niel;;2845
11035;N0;;Ranst;;2520
11037;N0;;Rumst;;2840
11038;N0;;Schelle;;2627
11039;N0;;Schilde;;2970
11040;N0;;Schoten;;2900
11044;N0;;Stabroek;;2940
11050;N0;;Wijnegem;;2110
11052;N0;;Wommelgem;;2160
11053;N0;;Wuustwezel;;2990
11054;N0;;Zandhoven;;2240
11054;N0;;Zandhoven;;2242
11054;N0;;Zandhoven;;2243
11055;N0;;Zoersel;;2980
11056;N0;;Zwijndrecht;;2070
11057;N0;;Malle;;2390
12002;N0;;Berlaar;;2590
12005;N0;;Bonheiden;;2820
12007;N0;;Bornem;;2880
12009;N0;;Duffel;;2570
12014;N0;;Heist-op-den-Berg;;2220
12014;N0;;Heist-op-den-Berg;;2221
12014;N0;;Heist-op-den-Berg;;2222
12014;N0;;Heist-op-den-Berg;;2223
12021;N0;Lierre;Lier;Lier;2500
12025;N0;Malines;Mechelen;Mechelen;2800
12025;N0;Malines;Mechelen;Mechelen;2801
12025;N0;Malines;Mechelen;Mechelen;2811
12025;N0;Malines;Mechelen;Mechelen;2812
12026;N0;;Nijlen;;2560
12029;N0;;Putte;;2580
12035;N0;;Sint-Katelijne-Waver;;2860
12035;N0;;Sint-Katelijne-Waver;;2861
12040;N0;;Willebroek;;2830
12041;N0;;Puurs-Sint-Amands;;2870
12041;N0;;Puurs-Sint-Amands;;2890
13001;N0;;Arendonk;;2370
13002;N0;Baerle-Duc;Baarle-Hertog;Baarle-Hertog;2387
13003;N0;;Balen;;2490
13003;N0;;Balen;;2491
13004;N0;;Beerse;;2340
13006;N0;;Dessel;;2480
