CD_YEAR;cd_gemeente;gemeente_nl;gemeente_fr;HH_TYPE_LIPRO;AantalWagens; aant_TotaalWagens ; aant_HuisH 
2019;11001;Aartselaar;Aartselaar;1;0; -     ; 542   
2019;11002;Antwerpen;Anvers;1;0; -     ; 64.094   
2019;11004;Boechout;Boechout;1;0; -     ; 552   
2019;11005;Boom;Boom;1;0; -     ; 1.330   
2019;11007;Borsbeek;Borsbeek;1;0; -     ; 718   
2019;11008;Brasschaat;Brasschaat;1;0; -     ; 1.825   
2019;11009;Brecht;Brecht;1;0; -     ; 987   
2019;11013;Edegem;Edegem;1;0; -     ; 1.218   
2019;11016;Essen;Essen;1;0; -     ; 706   
2019;11018;Hemiksem;Hemiksem;1;0; -     ; 579   
2019;11021;Hove (Antwerpen);Hove (Anvers);1;0; -     ; 329   
2019;11022;Kalmthout;Kalmthout;1;0; -     ; 747   
2019;11023;Kapellen (Antwerpen);Kapellen (Anvers);1;0; -     ; 1.281   
2019;11024;Kontich;Kontich;1;0; -     ; 962   
2019;11025;Lint;Lint;1;0; -     ; 269   
2019;11029;Mortsel;Mortsel;1;0; -     ; 2.040   
2019;11030;Niel;Niel;1;0; -     ; 611   
2019;11035;Ranst;Ranst;1;0; -     ; 711   
2019;11037;Rumst;Rumst;1;0; -     ; 629   
2019;11038;Schelle;Schelle;1;0; -     ; 421   
2019;11039;Schilde;Schilde;1;0; -     ; 694   
2019;11040;Schoten;Schoten;1;0; -     ; 1.832   
2019;11044;Stabroek;Stabroek;1;0; -     ; 766   
2019;11050;Wijnegem;Wijnegem;1;0; -     ; 533   
2019;11052;Wommelgem;Wommelgem;1;0; -     ; 558   
2019;11053;Wuustwezel;Wuustwezel;1;0; -     ; 770   
2019;11054;Zandhoven;Zandhoven;1;0; -     ; 490   
2019;11055;Zoersel;Zoersel;1;0; -     ; 900   
2019;11056;Zwijndrecht;Zwijndrecht;1;0; -     ; 1.199   
2019;11057;Malle;Malle;1;0; -     ; 736   
2019;12002;Berlaar;Berlaar;1;0; -     ; 533   
2019;12005;Bonheiden;Bonheiden;1;0; -     ; 611   
2019;12007;Bornem;Bornem;1;0; -     ; 1.094   
2019;12009;Duffel;Duffel;1;0; -     ; 936   
2019;12014;Heist-op-den-Berg;Heist-op-den-Berg;1;0; -     ; 1.979   
2019;12021;Lier;Lierre;1;0; -     ; 2.698   
2019;12025;Mechelen;Malines;1;0; -     ; 6.654   
2019;12026;Nijlen;Nijlen;1;0; -     ; 918   
2019;12029;Putte;Putte;1;0; -     ; 806   
2019;12035;Sint-Katelijne-Waver;Sint-Katelijne-Waver;1;0; -     ; 807   
2019;12040;Willebroek;Willebroek;1;0; -     ; 1.506   
2019;12041;Puurs-Sint-Amands;Puurs-Sint-Amands;1;0; -     ; 1.113   
2019;13001;Arendonk;Arendonk;1;0; -     ; 546   
2019;13002;Baarle-Hertog;Baerle-Duc;1;0; -     ; 136   
2019;13003;Balen;Balen;1;0; -     ; 881   
2019;13004;Beerse;Beerse;1;0; -     ; 686   
2019;13006;Dessel;Dessel;1;0; -     ; 388   
