CD_YEAR;CD_REFNIS;TX_REFNIS_DESCR_FR;TX_REFNIS_DESCR_NL;CD_STAT_SECTOR;MS_NUM_HH;MS_NUM_CAR
2019;11053;Wuustwezel;Wuustwezel;11053A381;218;287
2019;11053;Wuustwezel;Wuustwezel;11053A391;13;27
2019;11053;Wuustwezel;Wuustwezel;11053A400;381;531
2019;11053;Wuustwezel;Wuustwezel;11053A480;40;64
2019;11053;Wuustwezel;Wuustwezel;11053A49-;138;195
2019;11053;Wuustwezel;Wuustwezel;11053A512;51;82
2019;11053;Wuustwezel;Wuustwezel;11053A591;174;240
2019;11053;Wuustwezel;Wuustwezel;11053A610;201;266
2019;11053;Wuustwezel;Wuustwezel;11053A622;159;234
2019;11053;Wuustwezel;Wuustwezel;11053A681;173;259
2019;11053;Wuustwezel;Wuustwezel;11053B000;821;1.030
2019;11053;Wuustwezel;Wuustwezel;11053B01-;40;59
2019;11053;Wuustwezel;Wuustwezel;11053B022;133;205
2019;11053;Wuustwezel;Wuustwezel;11053B033;198;288
2019;11053;Wuustwezel;Wuustwezel;11053B081;139;214
2019;11053;Wuustwezel;Wuustwezel;11053B09-;107;162
2019;11053;Wuustwezel;Wuustwezel;11053B10-;35;37
2019;11053;Wuustwezel;Wuustwezel;11053B18-;87;116
2019;11053;Wuustwezel;Wuustwezel;11053B19-;53;74
2019;11053;Wuustwezel;Wuustwezel;11053ZZZZ;17;-00
2019;11054;Zandhoven;Zandhoven;11054A00-;690;790
2019;11054;Zandhoven;Zandhoven;11054A01-;252;323
2019;11054;Zandhoven;Zandhoven;11054A02-;221;314
2019;11054;Zandhoven;Zandhoven;11054A0AA;176;290
2019;11054;Zandhoven;Zandhoven;11054A0BA;254;384
2019;11054;Zandhoven;Zandhoven;11054A0CB;133;202
2019;11054;Zandhoven;Zandhoven;11054A0PA;129;189
2019;11054;Zandhoven;Zandhoven;11054A0QB;37;52
2019;11054;Zandhoven;Zandhoven;11054A19-;222;252
2019;11054;Zandhoven;Zandhoven;11054B00-;340;434
2019;11054;Zandhoven;Zandhoven;11054B01-;197;254
2019;11054;Zandhoven;Zandhoven;11054B022;331;501
2019;11054;Zandhoven;Zandhoven;11054B08-;73;100
2019;11054;Zandhoven;Zandhoven;11054B091;175;290
2019;11054;Zandhoven;Zandhoven;11054C00-;473;597
2019;11054;Zandhoven;Zandhoven;11054C01-;218;328
2019;11054;Zandhoven;Zandhoven;11054C081;133;212
2019;11054;Zandhoven;Zandhoven;11054C0AA;83;111
2019;11054;Zandhoven;Zandhoven;11054C0PA;63;97
2019;11054;Zandhoven;Zandhoven;11054C112;162;291
2019;11054;Zandhoven;Zandhoven;11054C19-;34;49
2019;11054;Zandhoven;Zandhoven;11054D00-;279;376
2019;11054;Zandhoven;Zandhoven;11054D08-;76;110
2019;11054;Zandhoven;Zandhoven;11054D0AA;78;155
2019;11054;Zandhoven;Zandhoven;11054D0PA;64;109
2019;11054;Zandhoven;Zandhoven;11054D19-;33;39
